ID,Area,Feature,User Story,Expected Behaviour,Source,Status,Test Method,Test Result,Notes
F11,Switch,Switch account,"As a user, I want one click to switch Epic to another saved account without typing a password.","Click: validate (exists, token valid, NOT stale — stale refuses with guidance), no-op if already active with launcher running, resolve exe+ini pre-kill, kill launcher+helpers (fail-closed check), snapshot+persist outgoing, write token (+mirror), best-effort registry, relaunch foreground, refresh. One switch at a time: further clicks get a localized 'switch in progress' notice. All failure dialogs fully localized.","switch.rs switch_account(); tray.rs switch_to()",Retested-OK,"adversarial code-verify x3; unit","Fixed rounds 1-3: typed localized SwitchError; stale refusal; re-entrancy guard with busy feedback (panic-safe via Drop guard); generation claimed under the guard.","Manual E2E (destructive, not automated): switch between two saved accounts, verify launcher restarts in foreground logged into the target."
F12,Switch,Outgoing session auto-save,"As a user, I want the account I'm leaving to keep a fresh token so switching back works.","Post-kill, a valid live session of a NON-target account is snapshotted and PERSISTED before the target write — including never-saved accounts (no session silently lost). Exception: explicitly REMOVED accounts are tombstoned and never re-captured; a manual save lifts the tombstone.","switch.rs switch_account(); store.rs removed_ids",Retested-OK,"adversarial code-verify x3; unit (remove_tombstones_until_resaved)","Fixed round 1 (auto-save unsaved outgoing) + round 2 (tombstones prevent resurrecting deliberately removed tokens).",
F13,Switch,Scoped helper kill,"As a user, I want unrelated Unreal/EOS apps untouched when the launcher is killed.","Launcher-unique images killed by name; generic helpers by PID only under launcher tree/EOS dir. With the main process already dead, the sweep still runs — including EpicWebHelper.exe — so crash orphans can't stall the relaunch.","switch.rs kill_launcher()/kill_launcher_images()/kill_scoped_processes()",Retested-OK,"adversarial code-verify x3","Fixed round 1 (sweep on dead launcher) + round 2 (sweep includes launcher images, not only scoped helpers).",
F14,Switch,Foreground relaunch,"As a user, I want the launcher to open visibly after a switch so I see I'm logged in.","Relaunch without '-silent': window opens in the foreground.","switch.rs relaunch",Verified,adversarial code-verify,match,"Manual check: after a switch the Epic window appears (not just tray)."
F15,Switch,Switch failure dialog,"As a user, I want a clear error if the switch fails so I'm not left guessing.","Every failure shows a localized dialog and refreshes the tray — including the stale-menu-entry case (account vanished), running-check failure, and post-kill failures (which leave the launcher closed; no rollback).","tray.rs switch_to(); switch.rs SwitchError",Retested-OK,"adversarial code-verify x2","Fixed: silent dead click eliminated; full error enumeration localized DE+EN.",
F16,Switch,Post-switch expiry detection,"As a user, I want to be told when Epic rejected the restored session so I can re-login and re-save.","~20s after a REAL switch (never after a no-op or failed preflight): LoggedOut + registry naming the switched-to account => mark stale, localized dialog, refresh. Newer switches supersede pending checks (generation claimed under the in-progress guard).","tray.rs switch_to(); switch.rs session_rejected()",Retested-OK,"adversarial code-verify x3","Improved rounds 2-3: no bogus check after no-ops; generation ordering race closed. Accepted limitations: manual logout inside the 20s window is misread as rejection (re-save recovers); one-shot probe misses later rejections.",
F17,Switch,Name refresh at switch,"As a user, I want the switched-to account's display name to be current so a save right after the switch shows the right name.","refresh_log_name(target_id, username_for(target_id)): id-matched, non-custom only, None is a no-op.","switch.rs; store.rs refresh_log_name()",Verified,"adversarial code-verify; unit",match,
F18,Remove,Remove account,"As a user, I want to remove a saved account after confirmation, without touching the Epic account itself.","Confirm dialog defaults to NO; Yes deletes the snapshot, tombstones the id (so switching away from it won't silently re-capture the token) and refreshes; vanished-account clicks give feedback. Epic account itself untouched.","tray.rs remove_clicked(); store.rs remove()",Retested-OK,"adversarial code-verify x2; unit","Fixed: No-default (MB_DEFBUTTON2), dead-click feedback, tombstone semantics.","Manual check: Enter on the confirm dialog must NOT delete."
F19,Settings,Language switch,"As a user, I want the UI in German or English, defaulting to my OS language.","EN/DE check items, persisted, validated, OS-locale fallback, immediate rebuild.","settings.rs; tray.rs; i18n.rs",Verified,adversarial code-verify,match,
F20,Settings,Name display mode,"As a user, I want to switch between Epic username and account ID display for privacy or clarity.","'Epic name' vs first-8-chars-of-ID for labels, remove submenu, tooltip AND badge initials — ID mode leaks no letter of the username anywhere.","settings.rs; tray.rs display_name()/menu_icon()",Retested-OK,"adversarial code-verify x2","Fixed: badge initial now derives from the displayed label.",
F21,Settings,Autostart toggle + default,"As a user, I want the app to start with Windows by default, but respect it when I turn that off.","First-run default: enable + flag only on success (retried until it works). Any manual toggle marks autostart as configured — the default can never override an explicit user choice. Toggle failures show a localized dialog.","settings.rs; tray.rs",Retested-OK,"adversarial code-verify x3","Fixed rounds 1-2: success-gated flag; visible toggle errors; mark-configured on manual toggle (closes the re-enable-after-disable hole).",
F22,Watcher,External change detection,"As a user, I want the tray to stay accurate when I log in/out in Epic directly.","3s poll of registry-id + ini mtime/size; refresh on change. Stale-menu races are harmless: switching to the already-active account no-ops.","tray.rs start_session_watcher(); accounts.rs watch_key()",Retested-OK,"adversarial code-verify x2; live-smoke","Fixed via F04's already-active guard.",
F23,App shell,Tray-only lifecycle,"As a user, I want the app to keep running without windows and quit only via the menu.","No window; exit prevention; Quit waits for in-flight switch/store ops (busy lock, worker thread) and sets QUITTING so the auto-updater aborts a pending install instead of restarting; a quit during install exits instead of restarting.","lib.rs; tray.rs quit",Retested-OK,"adversarial code-verify x3","Fixed rounds 1-3: lock-gated quit; QUITTING flag checked before install AND after install (exit instead of restart).",
F24,App shell,Single instance,"As a user, I want only one instance so tray icons don't multiply.","Second launch exits; the running instance shows a localized 'already running' info dialog (worker thread, non-blocking).","lib.rs single-instance callback",Retested-OK,"adversarial code-verify x2","Fixed: second launch is no longer a silent no-op.","Manual check: start the exe twice -> info dialog from the first instance."
F25,App shell,Auto-update,"As a user, I want the app to update itself from GitHub releases without breaking a switch in progress.","Background check; download first; install+restart gated by the busy lock and the QUITTING flag.","lib.rs try_update()",Limitation documented,"adversarial code-verify x2","Accepted rare windows: a switch queued behind a running install is lost on restart; a pending 20s stale check dies on update restart. Both self-heal after restart.",
F26,Storage,Encrypted token store,"As a user, I want my saved session tokens protected so other Windows users can't steal them.","DPAPI current-user + app entropy, 'dpapi:' prefix, plaintext passthrough for recovery, Debug redaction.","store.rs",Limitation documented,"adversarial code-verify x2; unit","Match; accepted nuance: DPAPI-undecryptable snapshots share the '(expired)' label with rejected tokens — same user remedy (re-login + re-save).",
F27,Storage,Durable atomic persistence,"As a user, I want the account store to survive crashes so I never lose all tokens at once.","Temp+fsync+rename saves; corrupt files quarantined to numbered accounts.json.bad[.N] (earlier quarantines survive); undecryptable ciphertext preserved verbatim.","store.rs save()/load_from()",Retested-OK,"adversarial code-verify x2; unit (second_corruption_keeps_earlier_quarantine)","Fixed: numbered quarantine. Accepted: quarantine itself is silent (a dialog in the constantly-running load path would spam; the .bad file is the recovery path).",
F28,Storage,Concurrency safety,"As a user, I want simultaneous tray actions to never corrupt my saved accounts.","Process-wide mutex over every load-mutate-save; gates updater install and quit; poison-recovering.","store.rs lock()",Verified,"adversarial code-verify x2; unit",match,
F29,Epic files,Encoding-preserving ini editing,"As a user, I want the app to only touch the RememberMe token so the rest of my launcher config is untouched.","Byte-identical round-trip outside [RememberMe] for uniform files (UTF-8/UTF-16LE ± BOM; dominant line terminator; mixed CRLF/LF normalized to dominant). Reads honor the LAST duplicate section (launcher last-wins parity); writes collapse duplicates. Atomic writes.","ini.rs",Retested-OK,"adversarial code-verify x2; unit (read_honors_last_duplicate_section_like_the_launcher)","Fixed: read/write duplicate-section asymmetry; wording corrected.",
F30,Epic files,Session validity rules,"As a user, I want logged-out placeholders never treated as usable sessions.","Valid = Enable=True + Data > 1000 chars; else LoggedOut; missing config = NoLauncherData.","ini.rs; accounts.rs",Verified,"adversarial code-verify; unit; live-smoke x2",match,
F31,Epic files,Ini location resolution,"As a user, I want the app to find the right config regardless of launcher build.","WindowsEditor > Windows candidates; RememberMe-bearing preferred; newer mtime tiebreak; mirror receives best-effort writes. Resolve failures reach the user localized (ConfigNotFound).","paths.rs; switch.rs",Retested-OK,"adversarial code-verify x2; live-smoke x2","Fixed via SwitchError localization.",
F32,Epic files,Launcher exe discovery,"As a user, I want switching to work even after the launcher self-updates or moved.","Registry protocol handler, then default paths; missing exe aborts pre-kill with a localized dialog.","paths.rs; registry.rs",Retested-OK,"adversarial code-verify x2; live-smoke x2","Fixed via SwitchError localization.",
F33,Epic files,Username from launcher logs,"As a user, I want my Epic username shown instead of a hex id whenever it is locally known.","Newest-first log scan for -epicusername/-epicuserid pairs; id-matched, case-insensitive; fallback 'Account <first8>'.","logs.rs; store.rs",Limitation documented,"adversarial code-verify x2; unit; live data","Match; known limitation (shared with F10): an account that never launches a game keeps the fallback label — rename UI is a feature request.",
F34,Epic files,Registry identity,"As a user, I want the app to track the active account the same way Epic does.","HKCU Identifiers AccountId read (trimmed, empty->None); switch writes it best-effort; never trusted alone for 'active'.","registry.rs; accounts.rs",Limitation documented,"adversarial code-verify x2","Accepted: a failed registry write stays invisible (ini token is authoritative; failing the switch over it would be worse). Doc comment now says 'best-effort'.",
F35,i18n,Localized UI,"As a user, I want every label and dialog in my language.","Complete DE+EN label sets covering menu, settings, info dialogs and ALL error dialog bodies (save, switch, autostart, busy, already-running); technical details appended as separate lines.","i18n.rs",Retested-OK,"adversarial code-verify x2","Fixed: 12 new labels; no hardcoded-English dialog bodies remain.",
F36,Branding,App icon,"As a user, I want a distinctive app icon that reflects account switching.","Badge-swap icon as full Tauri set (.ico/PNGs/.icns/Squares); SVG source in repo.","src-tauri/icons/*",Verified,"visual check 1024/128/32px",match,
F37,Storage,Case-insensitive account identity,"As a user, I want the app to treat differently-cased forms of the same account ID as one account so I never get duplicates.","All store operations (incl. tombstones) match ids ASCII-case-insensitively; 'ABC' updates existing 'abc'.","store.rs",Verified,"adversarial code-verify; unit",match,"Added in audit."
F38,Security,Token-free UI account model,"As a user, I want session tokens to never reach the UI layer so they cannot leak via tooltips or logs.","UI Account struct carries no token field.","accounts.rs",Verified,adversarial code-verify,match,"Added in audit."
F39,Security,Signed auto-update,"As a user, I want updates cryptographically verified so a spoofed feed cannot install malware.","Minisign-pinned updater; unsigned artifacts refuse to install.","tauri.conf.json; lib.rs",Verified,adversarial code-verify,match,"Added in audit."
